product_id,product_name,brand,category,subcategory,gramm_g,list_price,standard_cost,currency,listed_from_date,compatible_device_brand,is_active
1,FreshNest Refill Liquid Pine 100,FreshNest,REFILL,Refill Small,100,61.0,22.3,USD,2015-06-11,FreshNest,1
2,Citrus & Co Refill Liquid Rose 10,Citrus & Co,REFILL,Refill Small,10,7.5,2.62,USD,2015-11-26,,1
3,Good Smell Refill Liquid Chocolate 50,Good Smell,REFILL,Refill Small,50,29.0,9.91,USD,2015-05-07,,1
4,FreshNest Travel Pouch,FreshNest,ACCESSORY,Cover,,52.5,24.21,USD,2015-08-08,FreshNest,1
5,AromaWave Refill Liquid Citrus 10,AromaWave,REFILL,Refill Small,10,9.0,3.12,USD,2015-04-23,,1
6,AromaWave Refill Liquid Rose 20,AromaWave,REFILL,Refill Small,20,15.0,5.06,USD,2015-09-10,,1
7,AromaDrive Nebulizer Machine - Pro,AromaDrive,DEVICE,Pro Diffuser,,198.5,104.91,USD,2015-11-18,AromaDrive,1
8,FreshNest Refill Liquid Citrus 50,FreshNest,REFILL,Refill Small,50,31.5,11.22,USD,2015-11-02,FreshNest,1
9,BreezeLine Replacement Cap,BreezeLine,SPARE_PART,Cap,,60.0,31.49,USD,2015-09-28,BreezeLine,1
10,Citrus & Co Refill Liquid Lavender 20,Citrus & Co,REFILL,Refill Small,20,12.0,4.22,USD,2015-01-06,,1
11,FreshNest Refill Liquid Jasmine 20,FreshNest,REFILL,Refill Small,20,16.0,5.38,USD,2015-10-02,FreshNest,1
12,FreshNest Wall Bracket Mount,FreshNest,ACCESSORY,Mount,,69.0,30.55,USD,2015-05-31,FreshNest,1
13,BreezeLine Refill Liquid Chocolate 30,BreezeLine,REFILL,Refill Small,30,19.5,6.79,USD,2015-05-15,BreezeLine,1
14,Good Smell Refill Liquid Pine 30,Good Smell,REFILL,Refill Small,30,20.0,7.18,USD,2015-09-17,,1
15,BreezeLine Refill Liquid Coffee 30,BreezeLine,REFILL,Refill Small,30,21.0,7.62,USD,2015-06-02,BreezeLine,1
16,Good Smell Refill Liquid Vanilla 30,Good Smell,REFILL,Refill Small,30,19.5,6.83,USD,2015-04-12,,1
17,BreezeLine Refill Liquid Rose 10,BreezeLine,REFILL,Refill Small,10,8.0,2.87,USD,2015-10-04,BreezeLine,1
18,BreezeLine Refill Liquid Mint 20,BreezeLine,REFILL,Refill Small,20,15.0,5.47,USD,2015-01-01,BreezeLine,1
19,Citrus & Co Refill Liquid Rose 20,Citrus & Co,REFILL,Refill Small,20,13.0,4.54,USD,2015-02-27,,1
20,AromaWave Refill Liquid Citrus 100,AromaWave,REFILL,Refill Small,100,62.0,22.52,USD,2015-06-07,,1
21,Citrus & Co Refill Liquid Chocolate 10,Citrus & Co,REFILL,Refill Small,10,7.5,2.56,USD,2015-10-18,,1
22,FreshNest Refill Liquid Citrus 30,FreshNest,REFILL,Refill Small,30,23.0,7.72,USD,2015-09-06,FreshNest,1
23,BreezeLine Refill Liquid Jasmine 20,BreezeLine,REFILL,Refill Small,20,14.5,5.32,USD,2015-09-30,BreezeLine,1
24,AromaWave Refill Liquid Rose 10,AromaWave,REFILL,Refill Small,10,9.0,3.03,USD,2015-09-01,,1
25,FreshNest Refill Liquid Rose 100,FreshNest,REFILL,Refill Small,100,68.5,23.17,USD,2015-09-28,FreshNest,1
26,Citrus & Co Refill Liquid Pine 50,Citrus & Co,REFILL,Refill Small,50,29.0,10.07,USD,2015-04-19,,1
27,Good Smell Refill Liquid Lavender 50,Good Smell,REFILL,Refill Small,50,31.0,11.13,USD,2015-12-20,,1
28,BreezeLine Cable Organizer Clip,BreezeLine,ACCESSORY,Cable,,30.0,14.17,USD,2015-11-29,BreezeLine,1
29,AromaWave Refill Liquid Pine 100,AromaWave,REFILL,Refill Small,100,57.0,20.75,USD,2015-08-20,,1
30,FreshNest Refill Liquid Pine 30,FreshNest,REFILL,Refill Small,30,20.0,6.81,USD,2015-06-23,FreshNest,1
31,Citrus & Co Refill Liquid Lavender 30,Citrus & Co,REFILL,Refill Small,30,16.0,5.63,USD,2015-10-29,,1
32,BreezeLine Refill Liquid Coffee 10,BreezeLine,REFILL,Refill Small,10,8.0,2.68,USD,2015-11-20,BreezeLine,1
33,BreezeLine Refill Liquid Citrus 10,BreezeLine,REFILL,Refill Small,10,8.0,2.68,USD,2015-01-17,BreezeLine,1
34,BreezeLine Refill Liquid Ocean 50,BreezeLine,REFILL,Refill Small,50,32.5,10.89,USD,2015-05-02,BreezeLine,1
35,Good Smell Refill Liquid Ocean 100,Good Smell,REFILL,Refill Small,100,53.0,18.52,USD,2015-10-04,,1
36,BreezeLine Refill Liquid Lavender 30,BreezeLine,REFILL,Refill Small,30,18.5,6.76,USD,2015-10-20,BreezeLine,1
37,Good Smell Refill Liquid Citrus 50,Good Smell,REFILL,Refill Small,50,29.5,10.06,USD,2015-08-31,,1
38,AromaDrive Desk Stand Base,AromaDrive,ACCESSORY,Mount,,26.5,11.44,USD,2015-08-09,AromaDrive,1
39,AromaWave Refill Liquid Mint 100,AromaWave,REFILL,Refill Small,100,56.5,19.6,USD,2015-01-28,,1
40,FreshNest Refill Liquid Coffee 1000 (Industrial),FreshNest,REFILL,Refill Bulk,1000,262.5,96.32,USD,2015-02-20,FreshNest,1
41,BreezeLine Refill Liquid Mint 50,BreezeLine,REFILL,Refill Small,50,28.5,10.2,USD,2015-02-25,BreezeLine,1
42,BreezeLine Refill Liquid Vanilla 20,BreezeLine,REFILL,Refill Small,20,13.5,4.58,USD,2015-08-18,BreezeLine,1
43,FreshNest Nozzle Holder,FreshNest,SPARE_PART,Nozzle,,42.0,20.92,USD,2015-02-08,FreshNest,1
44,Citrus & Co Refill Liquid Pine 30,Citrus & Co,REFILL,Refill Small,30,17.5,6.35,USD,2015-10-09,,1
45,Citrus & Co Refill Liquid Coffee 30,Citrus & Co,REFILL,Refill Small,30,16.5,5.86,USD,2015-10-04,,1
46,FreshNest Refill Liquid Lavender 20,FreshNest,REFILL,Refill Small,20,16.0,5.86,USD,2015-05-02,FreshNest,1
47,AromaDrive Car Vent Holder,AromaDrive,ACCESSORY,Mount,,42.5,18.58,USD,2015-07-25,AromaDrive,1
48,AromaWave Refill Liquid Ocean 100,AromaWave,REFILL,Refill Small,100,61.5,20.8,USD,2015-01-02,,1
49,FreshNest Refill Liquid Jasmine 30,FreshNest,REFILL,Refill Small,30,23.0,7.86,USD,2015-08-21,FreshNest,1
50,BreezeLine Refill Liquid Mint 100,BreezeLine,REFILL,Refill Small,100,56.0,19.99,USD,2015-10-12,BreezeLine,1
51,BreezeLine Diffuser Machine - Home,BreezeLine,DEVICE,Home Diffuser,,419.5,223.57,USD,2015-04-22,BreezeLine,1
52,AromaDrive Clip Replacement,AromaDrive,SPARE_PART,Mount,,100.0,50.21,USD,2015-06-10,AromaDrive,1
53,AromaWave Refill Liquid Lavender 10,AromaWave,REFILL,Refill Small,10,8.0,2.82,USD,2015-09-15,,1
54,Citrus & Co Refill Liquid Citrus 100,Citrus & Co,REFILL,Refill Small,100,55.5,19.49,USD,2015-01-30,,1
55,Citrus & Co Refill Liquid Citrus 10,Citrus & Co,REFILL,Refill Small,10,8.0,2.68,USD,2015-04-06,,1
56,AromaDrive Power Adapter,AromaDrive,SPARE_PART,Power,,25.5,13.21,USD,2015-07-26,AromaDrive,1
57,Citrus & Co Refill Liquid Lavender 100,Citrus & Co,REFILL,Refill Small,100,49.0,17.82,USD,2015-05-07,,1
58,AromaWave Refill Liquid Lavender 30,AromaWave,REFILL,Refill Small,30,19.5,6.51,USD,2015-02-11,,1
59,AromaDrive Wall Bracket Mount,AromaDrive,ACCESSORY,Mount,,50.5,22.78,USD,2015-05-14,AromaDrive,1
60,BreezeLine Cleaning Wipes Pack,BreezeLine,ACCESSORY,Care,,54.5,23.88,USD,2015-07-22,BreezeLine,1
61,FreshNest Replacement Cap,FreshNest,SPARE_PART,Cap,,100.0,49.79,USD,2015-02-07,FreshNest,1
62,BreezeLine Refill Liquid Rose 30,BreezeLine,REFILL,Refill Small,30,18.0,6.38,USD,2015-10-16,BreezeLine,1
